,scores,ranks,min_flux
0,0.0025893285528400907,3734.0,0.04907419940241586
1,0.002513457389493385,4034.0,0.13641336983513774
2,0.002195341337170702,5985.0,0.22998570854655365
3,0.002070574531370286,7153.0,0.3199020841394297
4,0.0019745331415038786,8267.0,0.4124333505793457
5,0.001916253373363569,9047.0,0.5031164799785267
6,0.0018350615392573794,10225.0,0.5964396914680842
7,0.001813404399059309,10546.0,0.6862715657333623
8,0.001727101528571494,11995.0,0.7789250084600612
9,0.0016913237681444356,12687.0,0.8711193009153041
10,0.001245728330214064,29742.0,0.9643486607243568
11,0.0008975156599752327,89404.0,0.9747503988710194
